Monster	Level	Role	Source	Page	Rank	Base Role
White Dragon Wyrmling	1	Elite Brute	Draconomicon 1	187	Elite	Brute
Dire Rat	1	Brute	Monster Manual 1	219	Standard	Brute
Fire Beetle	1	Brute	Monster Manual 1	30	Standard	Brute
Goblin Blackblade	1	Lurker	Monster Manual 1	136	Standard	Lurker
Goblin Warrior	1	Skirmisher	Monster Manual 1	137	Standard	Skirmisher
Halfling Slinger	1	Artillery	Monster Manual 1	152	Standard	Artillery
Kobold Slinger	1	Artillery	Monster Manual 1	168	Standard	Artillery
Riding Horse	1	Brute	Monster Manual 1	159	Standard	Brute
Spiretop Drake	1	Skirmisher	Monster Manual 1	90	Standard	Skirmisher
Stirge	1	Lurker	Monster Manual 1	248	Standard	Lurker
Stormclaw Scorpion	1	Soldier	Monster Manual 1	229	Standard	Soldier
Ankheg Broodling	1	Minion Brute	Monster Manual 2	11	Minion	Brute
Blood Hawk	1	Skirmisher	Monster Manual 2	142	Standard	Skirmisher
Bullywug Mucker	1	Brute	Monster Manual 2	28	Standard	Brute
Goblin Acolyte of Maglubiyet	1	Controller	Monster Manual 2	131	Standard	Controller
Thornskin Frog	1	Brute	Monster Manual 3	90	Standard	Brute
Xivort Darter	1	Artillery	Monster Manual 3	208	Standard	Artillery
Xivort Net Caster	1	Controller	Monster Manual 3	209	Standard	Controller
Xivort Slasher	1	Skirmisher	Monster Manual 3	208	Standard	Skirmisher
Black Dragon Wyrmling	2	Elite Lurker	Draconomicon 1	179	Elite	Lurker
Brown Dragon Wyrmling	2	Elite Lurker	Draconomicon 1	181	Elite	Lurker
Dragonborn Sellsword	2	Skirmisher	Draconomicon 1	214	Standard	Skirmisher
Greenspawn Sneak	2	Lurker	Draconomicon 1	218	Standard	Lurker
Hoard Scarab	2	Skirmisher	Draconomicon 1	212	Standard	Skirmisher
Hobbler Trapmaster	2	Skirmisher	Draconomicon 1	224	Standard	Skirmisher
Baaz Draconian	2	Soldier	Draconomicon 2	190	Standard	Soldier
Brass Dragon Wyrmling	2	Elite Artillery	Draconomicon 2	175	Elite	Artillery
Goblin Cursespewer	2	Artillery	Draconomicon 2	88	Standard	Artillery
Goblin Sentry	2	Soldier	Draconomicon 2	89	Standard	Soldier
Clay Scout (Homunculus)	2	Lurker	Monster Manual 1	156	Standard	Lurker
Elf Archer	2	Artillery	Monster Manual 1	106	Standard	Artillery
Elf Scout	2	Skirmisher	Monster Manual 1	106	Standard	Skirmisher
Gnome Skulk	2	Lurker	Monster Manual 1	134	Standard	Lurker
Goblin Sharpshooter	2	Artillery	Monster Manual 1	137	Standard	Artillery
Gray Wolf	2	Skirmisher	Monster Manual 1	264	Standard	Skirmisher
Guard Drake	2	Brute	Monster Manual 1	90	Standard	Brute
Halfling Thief	2	Skirmisher	Monster Manual 1	152	Standard	Skirmisher
Human Bandit	2	Skirmisher	Monster Manual 1	162	Standard	Skirmisher
Hyena	2	Skirmisher	Monster Manual 1	166	Standard	Skirmisher
Kobold Dragonshield	2	Soldier	Monster Manual 1	168	Standard	Soldier
Kruthik Young	2	Brute	Monster Manual 1	170	Standard	Brute
Needlefang Drake Swarm	2	Soldier	Monster Manual 1	90	Standard	Soldier
Rat Swarm	2	Skirmisher	Monster Manual 1	219	Standard	Skirmisher
Zombie	2	Brute	Monster Manual 1	274	Standard	Brute
Bloodthorn Vine	2	Soldier	Monster Manual 2	205	Standard	Soldier
Bullywug Twitcher	2	Skirmisher	Monster Manual 2	28	Standard	Skirmisher
Centipede Swarm	2	Brute	Monster Manual 2	33	Standard	Brute
Dretch (Demon)	2	Brute	Monster Manual 2	54	Standard	Brute
Hive Warrior (Ant)	2	Skirmisher	Monster Manual 2	12	Standard	Skirmisher
Poisonscale Magus (Lizardfolk)	2	Artillery	Monster Manual 2	156	Standard	Artillery
Poisonscale Savage (Lizardfolk)	2	Brute	Monster Manual 2	156	Standard	Brute
Poisonscale Slitherer (Lizardfolk)	2	Soldier	Monster Manual 2	156	Standard	Soldier
Stonefist Defender (Homunculus)	2	Skirmisher	Monster Manual 2	143	Standard	Skirmisher
Ambush Spider	2	Lurker	Monster Manual 3	182	Standard	Lurker
Blizzard Dragon Wyrmling	2	Controller	Monster Manual 3	65	Standard	Controller
Cave Fisher Spawn	2	Minion Brute	Monster Manual 3	28	Minion	Brute
Maw Demon	2	Brute	Monster Manual 3	42	Standard	Brute
Murklord Frog	2	Skirmisher	Monster Manual 3	91	Standard	Skirmisher
Sporeback Frog	2	Controller	Monster Manual 3	91	Standard	Controller
Vilden Destroyer	2	Soldier	Monster Manual 3	206	Standard	Soldier
Wilden Hunter	2	Lurker	Monster Manual 3	207	Standard	Lurker
Xivort Shadow Caller	2	Artillery	Monster Manual 3	209	Standard	Artillery
Abyssal Scavenger	2	Skirmisher	Demonomicon	102	Standard	Skirmisher
Brown Dragon, Young	3	Solo Lurker	Draconomicon 1	168	Solo	Lurker
Gray Dragon Wyrmling	3	Elite Soldier	Draconomicon 1	182	Elite	Soldier
Cobalt Dragon Wyrmling	3	Elite Controller	Draconomicon 2	177	Elite	Controller
Ferak Draconian	3	Brute	Draconomicon 2	191	Standard	Brute
Iron Dragon Wyrmling	3	Elite Skirmisher	Draconomicon 2	179	Elite	Skirmisher
Doppelganger Sneak	3	Skirmisher	Monster Manual 1	71	Standard	Skirmisher
Gnome Arcanist	3	Controller	Monster Manual 1	134	Standard	Controller
Goblin Hexer	3	Controller	Monster Manual 1	137	Standard	Controller
Goblin Skullcleaver	3	Brute	Monster Manual 1	137	Standard	Brute
Gravehound (Zombie)	3	Brute	Monster Manual 1	274	Standard	Brute
Hobgoblin Archer (Goblin)	3	Artillery	Monster Manual 1	139	Standard	Artillery
Hobgoblin Warcaster (Goblin)	3	Controller	Monster Manual 1	140	Standard	Controller
Human Guard	3	Soldier	Monster Manual 1	162	Standard	Soldier
Iron Defender (Homunculus)	3	Soldier	Monster Manual 1	156	Standard	Soldier
Kobold Wyrmpriest	3	Artillery	Monster Manual 1	168	Standard	Artillery
Ochre Jelly (Ooze)	3	Elite Brute	Monster Manual 1	202	Elite	Brute
Orc Raider	3	Skirmisher	Monster Manual 1	203	Standard	Skirmisher
Pseudodragon (Drake)	3	Lurker	Monster Manual 1	91	Standard	Lurker
Shadowhunter Bat	3	Lurker	Monster Manual 1	27	Standard	Lurker
Skeleton	3	Soldier	Monster Manual 1	234	Standard	Soldier
Spitting Drake	3	Artillery	Monster Manual 1	91	Standard	Artillery
Warhorse	3	Brute	Monster Manual 1	159	Standard	Brute
Wererat (Lycanthrope)	3	Skirmisher	Monster Manual 1	180	Standard	Skirmisher
Young White Dragon	3	Solo Brute	Monster Manual 1	84	Solo	Brute
Ankheg	3	Elite Lurker	Monster Manual 2	11	Elite	Lurker
Bullywug Croaker	3	Minion Brute	Monster Manual 2	28	Minion	Brute
Bullywug Mud Lord	3	Artillery	Monster Manual 2	29	Standard	Artillery
Kenku Ruffian	3	Minion Skirmisher	Monster Manual 2	152	Minion	Skirmisher
Kenku Warrior	3	Skirmisher	Monster Manual 2	152	Standard	Skirmisher
Lolthbound Goblin	3	Soldier	Monster Manual 2	131	Standard	Soldier
Myconid Rotpriest	3	Brute	Monster Manual 2	164	Standard	Brute
Poisonscale Collector (Lizardfolk)	3	Lurker	Monster Manual 2	156	Standard	Lurker
Poisonscale Myrmidon (Lizardfolk)	3	Soldier	Monster Manual 2	157	Standard	Soldier
Cave Fisher Angler	3	Lurker	Monster Manual 3	28	Standard	Lurker
Cave Fisher Spiker	3	Artillery	Monster Manual 3	29	Standard	Artillery
Craud Impaler	3	Skirmisher	Monster Manual 3	36	Standard	Skirmisher
Dread Protector	3	Soldier	Monster Manual 3	74	Standard	Soldier
Jackalwerc Harrier	3	Minion Soldier	Monster Manual 3	121	Minion	Soldier
Jackalwere Bravo	3	Brute	Monster Manual 3	120	Standard	Brute
Skulk Mesmerist	3	Controller	Monster Manual 3	176	Standard	Controller
Skulk Murderer	3	Lurker	Monster Manual 3	177	Standard	Lurker
Yeti Hunter	3	Soldier	Monster Manual 3	210	Standard	Soldier
Mane	3	Minion Brute	Demonomicon	124	Minion	Brute
Ixitxachitl Demon Ray	3	Skirmisher	Demonomicon	119	Standard	Skirmisher
