ModelName	Race	Class	Type	ChallengeRating	Antal	Arctic	Caves	Coastal	Desert	Fiery	Forest	Grassland	Hill	Mountain	Ocean	Swamp	Underdark	Underwater	Urban											
Barghest	Fiend		Fiend	4	1		1												
Bugbear	Goblin	Warrior	Goblinoid	1	1		1						1						
Dog Rider	Goblin	Beastmaster	Goblinoid	2	3		1			1									
Goblin Lancer	Goblin	Cavalier	Goblinoid	1	2		1						1						
Goblin Soldier	Goblin	Warrior	Goblinoid	0,25	1		1						1						
Goblin Swords	Goblin	Fighter	Goblinoid	0,5	2		1						1						
Hobgoblin Ranger 01	Hobgoblin	Ranger	Goblinoid	3	2		1						1	1	1				
Hobgoblin Ranger 02	Hobgoblin	Ranger	Goblinoid	3	1		1						1	1	1				
Cormah Shasan					1														
Wight			Undead	3	1														
Big Zombie			Undead	2	1							1							
Bugbear Zombie	Bugbear	Warrior	Goblinoid	1	1							1							
Cleaver Zombie			Undead	1	2							1							
Ghoul 1			Undead	1	2							1							
Ghoul 2			Undead	1	2							1							
Skeleton Archer		Archer	Undead	0,25	1							1							
Skeleton Executioner		Fighter	Undead	2	1							1							
Skeleton Warrior		Warrior	Undead	0,25	1							1							
Skeleton Wolf	Beast		Undead	0,25	1						1								
Zombie Man	Human		Undead	0,25	1							1							
Zombie Woman	Human		Undead	0,25	1							1							
Chimera	Monstrosity		Monstrosity	6	1														
Owlbear	Monstrosity		Monstrosity	3	1				1										
Pit Fiend	Fiend		Fiend	20	1														
Erinyes	Fiend		Fiend	12	1														
Hell Knight	Fiend	Cavalier	Fiend	9	1														
Bearded Devil	Fiend		Fiend	3	1														
Chain Devil	Fiend		Fiend	8	1														
Solar Free	Celestial		Celestial	21	1														
Solar Prisoner	Celestial		Celestial	21	1														
Rulph	Beast		Beast	0	1	1						1							
Okesh The Proud					1														
Shadow Mastiff	Fiend	Beast	Fiend	2	3														
Crocodile	Beast		Beast	0,5	2		1	1	1										1
Mohrg	Undead		Undead	8	1				1										
Monstrous Scorpion	Beast	Scorpion	Beast	3	4				1										
Jimmy Hollowhead			Monstrosity		1														
Gold	Catfolk	Bard	Humanoid		1														
Sanjay the Shadow					1														
Bayul Greytusk					1														
Barbarian Skeleton	Undead	Barbarian	Undead	2	1	1	1						1						
Skeleton Mage	Undead	Wizard	Undead	6	1	1	1						1						
Sword and Board Skeleton	Undead	Fighter	Undead	2	1	1	1						1						
Wendigo	Monstrosity		Monstrosity	10	1	1		1				1							
Werebear	Humanoid	Shapeshifter	Humanoid	5	1	1					1								
Levisteus Caniatus					1														
Taes of the Frozen Tundra					1														
Panshaw Ajax Fighter					1														
Ashgex					1														
Argenturam					1														
Skeleton Pirate	Undead	Pirate	Undead	3	1										1				
Turill	Dragon		Dragon	10	1										1				
Alejandro					1														
Cannon Pirate					1														
Eleanore					1														
Jeanne Du Tonnerre					1														
Matt Jones					1														
Pirate Scout					1														
Bugbear Gladiator	Bugbear	Gladiator	Monstrous Humanoid	4	3		1		1			1	1						
Cyclops	Giant	Barbarian	Giant	6	1			1	1										
Lesser Marilith	Fiend	Warrior	Fiend	5	1														
Lion	Beast	-	Beast	1	1				1										
Manticore	Monstrosity	Beast	Monstrosity	3	1														
Wererhino	Humanoid	Shapeshifter	Humanoid	6	1														
Cat Folk	Catfolk	Gladiator	Humanoid	4	1														
Mantisman	Monstrosity	Warrior	Monstrosity	3	1														
Nalla Bloodletter Ogolakanu	Humanoid	Barbarian	Humanoid	9	1														
Retiarius Gladiator	Humanoid	Gladiator	Humanoid	2	1														
Qydon					1														
Kallista Everun					1														
Time Portal					1														
Death Knight	Undead	Paladin	Undead	17	1														
OdDracne	Fiend	Demon	Fiend	16	1														
Goblin Archer	Goblin	Archer	Goblinoid	0,25	3														
Goblin Scoundrel	Goblin	Rogue	Goblinoid	0,25	2														
Bugbear Assassin	Bugbear	Assassin	Goblinoid	1	2														
Goblin Shaman	Goblin	Wizard	Goblinoid	0,25	1														
Goblin Warrior	Goblin	Warrior	Goblinoid	0,25	2														
Goblin Blacksmith	Goblin	Artisan (Blacksmith)	Goblinoid		1														
Hobgoblin Berserker	Hobgoblin	Barbarian	Goblinoid	3	2														
Nilbog	Goblin	Trickster	Goblinoid		1														
Slugor Goblin King	Goblin	Leader	Goblinoid		1														
Devastr Scorch					1														
Jade Song					1														
The Head Hunter					1														
